State;Year;Polity IV;Democracy;Statement;Relevant?;Code / Topic
DNK;2002;10;1;136. The great importance attached by the European Union to technical co-operation was well demonstrated by its very high level of voluntary contributions, amounting to approximately 35% of the total contributions in 2002. Those important activities needed adequate financing and the European Union would contribute constructively to the Board of Governors’ review of the funding mechanism for technical co-operation in 2003. Technical co-operation funds should be used in the most cost-effective, efficient and transparent way possible and it was important that the Secretariat provided a detailed breakdown of the Regular Budget expenditure on technical co-operation in all its departments and programmes. He expressed concern at the some $7 million owed in outstanding assessed programme costs as at June 2002, representing nearly 10% of the target figure for 2002 for the TCF. That debt posed a serious impediment to implementation of the technical co-operation programme. The European Union strongly supported the revised strategy paper on technical co-operation which emphasized a demand-driven approach and clear priority-setting, and welcomed the approach the Secretariat had taken in recent years in devoting considerable efforts to supporting countries in selecting and prioritizing their projects. That had led to fewer and more focused projects which better reflected the needs and priorities of Member States. Also technical assistance could serve as a catalyst for national efforts to ensure the safety and security of nuclear material and other radioactive sources.;1;TC
ITA;2002;10;1;35. Italy held sixth place among the major contributors to the Agency’s Regular Budget and honoured its financial commitments on time every year. It expected that commitment to be reflected by more careful consideration in the Secretariat’s recruitment policy. For the recruitment of high-level and senior staff, in particular, more transparent selection criteria would benefit management and would eventually lead to a greater spirit of ownership and participation among Member States.;1;ADM
ARM;2002;5;0;199. Commenting upon remarks made by the delegate of Azerbaijan in the Plenary the previous day 3 , he said that the Agency owed its effectiveness to its technical and scientific competence, the transparency of its operations and the objectivity of its assessments, but also to its efforts to remain above political controversy. He was therefore disappointed to note that Azerbaijan’s recent accession to the Agency had not given it a sense of moderation or responsibility, but had merely provided it with yet another forum in which to criticize Armenia. In reply to Azerbaijan’s specific accusations about the safety and security of Armenia’s nuclear facilities, he could state that the Armenian nuclear power plant and all activities related to it had been subjected to the most thorough safety evaluation. Since 1994, some 30 missions from the Agency and elsewhere, involving over 100 experts and inspectors each year, had examined every aspect of Armenia’s nuclear energy programme. Azerbaijan had been invited to join those inspections. Its constant repetition of the same accusations could only be a sign of bad faith.;1;ADM
CAN;2002;10;1;55. The events of 11 September 2001 had led to renewed concerns about nuclear security and safety. The Agency had played an important role in allaying such concerns by informing the public about its mandate and activities in an open and transparent manner. Canada particularly welcomed the Agency's comprehensive programme to combat the threat of nuclear terrorism and would be making an additional contribution in support of the Agency's work relating to IPPAS missions. The threat of nuclear terrorism could be successfully addressed through the combined efforts of the Agency and individual Member States. It was important to acknowledge that nuclear security was the shared responsibility of all States. However, to be sustainable that programme should be included in the Agency's Regular Budget. It was pleasing to note that the Agency's efforts had provided an impetus to complementary initiatives, notably the G-8 Global Partnership Against the Spread of Weapons and Materials of Mass Destruction in whose development Canada had played a key role;1;ADM
ZAF;1998;9;1;"81. The situation was less encouraging where the formal entry into force was concerned - for obvious reasons such as the changes in national legislation that needed to be effected. However, his delegation believed that another important problem might be uncertainty about the practical aspects of implementing the protocol, in other words, the so-called ""integration of current and new measures"". The IAEA and its Member States would have to make a transition from a situation of restricted information and access (albeit compensated by very accurate materials accounting) to a situation of total nuclear transparency, which amongst other things would involve substantially more information and wider access. It was a difficult transition from a culture of ""nuclear secrecy"" with a highly quantitative implementation approach to a culture of openness where the only restriction would be the need to protect confidential commercial information. It was incumbent upon Member States to make that transition consciously, but also upon the Secretariat to be open and clear on how safeguards conclusions would be formulated in future on the basis of more qualitative judgements and more use of random access and verifications while taking into account the very different fuel cycle activities of Member States.";1;SG
RUS;1998;3;0;6. The Russian Federation supported the Agency's initiative to establish a special fund for nuclear disarmament. However, the additional resources should not be restricted to purposes relating to the transparency of nuclear disarmament only, but should also be devoted to the optimum use of plutonium removed from nuclear military programmes.;1;INSTR
CAN;1998;10;1;97. In playing its crucial role in the fight against the proliferation of nuclear weapons, the Agency's main objective had always been to verify, through its safeguards system, the compliance by States with the commitments they had made to use nuclear energy for peaceful purposes. During the present session, Canada would sign an additional protocol to the safeguards agreement which it had concluded with the Agency and he was pleased to see that several other States intended to do likewise. All Member States should conclude and implement such protocols as soon as possible, hi applying the strengthened safeguards system, the Agency should first try to make it more effective and more efficient by integrating the traditional measures and the new measures. It should also establish priorities and concentrate its efforts on the most important aspects of the prevention of proliferation. In addition, national statements on the Agency's safeguards activities in the country concerned should be prepared in a systematic and transparent manner.;1;SG
SVN;1998;10;1;117. All Member States should bear in mind that further efforts needed to be made to achieve additional savings without affecting the Agency's ability to meet its programme objectives. The Agency had already demonstrated transparency in that area and he was sure that the Director General would continue to move in the same direction. Member States should take part in those efforts. Prompt payment of assessed contributions would help to improve the Agency's financial situation and ensure a greater degree of implementation. Slovenia was in the process of effecting budgetary reforms in order to improve its financial situation. In the light of the importance that it attached to the Agency and despite Slovenia's strict budgetary constraints, Slovenia would continue to support co-operation with the Agency.;1;ADM
CHL;1998;8;1;122. Chile had vigorously supported the strengthening of the Agency's safeguards system, because it was sure that that system would bring greater transparency to the nuclear activities of countries. It hoped to be able to enter shortly into consultations with the Agency with a view to signing an additional protocol.;1;SG
CHE;1998;10;1;130. The Agency's study on the radiological situation of the Mururoa and Fangataufa atolls had shown that the fears expressed on the subject had been unfounded. France had demonstrated transparency in requesting the Agency to conduct a study of the test site and Switzerland hoped that other States with such sites would do likewise.;1;INSTR
NOR;1998;10;1;144. Illicit trafficking in nuclear material was an international problem and Norway was participating actively in various projects to strengthen systems for prevention and detection. It appreciated the initiatives taken by the Agency in that area and recommended that efforts be stepped up, including efforts to assist various countries in establishing legal frameworks and systems of transparency to improve detection and law enforcement. Fanatical terrorist groups were becoming more and more cynical in the methods they used to promote their causes. Their use of nuclear or radioactive material in future actions could not be ruled out. In order to avoid such scenarios, it was essential to give high priority to safeguards, physical protection, illicit trafficking and legal frameworks.;1;INSTR
SVN;1998;10;1;25. The first unit of the Mochovce power plant had reached criticality on 9 June 1998, and the commissioning of unit 2 was planned for 1999. The Mochovce nuclear power plant was an example of international co-operation to achieve internationally acceptable safety standards, with companies from France, Germany, the United States, the Russian Federation, the Czech Republic and Slovakia, as well as the Agency, having been involved. The Agency's services in particular were an essential component of international transparency in all safety-related matters.;1;INSTR
IRQ;1998;-9;0;20. Mr. AL-JANABI (Iraq) noted that seven years had passed since the Agency had been authorized by the Security Council in section C of resolution 687 to destroy, remove and render harmless the former Iraqi nuclear programme. During that time, the Agency had carried out all the missions assigned to it, yet as a result of pressure by the United States, the Security Council had not yet taken a decision to transfer the nuclear file from the disarmament stage to the monitoring stage. The Agency had regrettably reinforced such pressure by stating in its report to the Security Council on 27 July 1998 that the non-existence of indications of the availability of prohibited equipment, materials or activities did not rule out their existence. It had also raised doubts about Iraq's co-operation and accused it of lack of full transparency;1;INSTR
CHN;1994;-7;0;114. China supported the Agency's endeavours to strengthen the effectiveness and efficiency of the safeguards system and believed that the system should be just, objective, reasonable, transparent and practicable. It should be able to deter and detect any noncompliance, and redress any such instance. China had always maintained that the underlying aim of improving the effectiveness of safeguards should be to build confidence. Any measures adopted should be in strict conformity with the Statute and other relevant international legal instruments, should respect State sovereignty, and ensure the equal status, rights and obligations of all countries. In view of the complex nature of international relations, a vigilant guard should be kept against the possible abuse of environmental monitoring;1;SG
KOR;1994;6;0;33. With regard to recent press reports on the illicit trafficking of nuclear materials, he welcomed the European Union's initiative in raising the issue and reiterated his delegation's concern that the Agency should take a more active role in the storage and management worldwide of sensitive fissile materials. Individual national authorities should also strive harder to prevent the unauthorized circulation of nuclear material. An international system should be established under the auspices of the Agency in order to monitor such activities and help guarantee full nuclear transparency. His delegation was willing to participate actively in whatever measures the Conference might wish to recommend.;1;INSTR
MEX;1994;4;0;85. From the point of view of building international confidence in non-proliferation, transparency was acquiring increasing importance as a guiding principle in all the multifarious aspects of the Agency's work and the Member States' activities. In the area of administration, the harmonization of financial documents and reorganization of the budget would lend the Agency's management processes greater transparency, while also facilitating evaluation of its activities and enabling it to make the most rational use of its scarce resources.;1;ADM
MEX;1994;4;0;86. The designation of members of the Board, a process of the utmost importance and complexity, was no exception to the transparency rule. In order to establish such transparency, it was necessary to follow the lines laid down in Article VI of the Statute and to establish clear and precise criteria for comparing the levels of nuclear development attained by different countries. Revision of Article VI was a prerequisite for strengthening the Agency and, to that end, the composition of its policy-making organs needed to be modified to reflect the new international situation, the Agency's increased membership and the political regrouping of countries and regions. That fundamental step would equip the organization to meet the demands of heterogeneous societies with diverse and changing interests, while at the same time enabling it to transmit technological advances more even handedly and safely by means of improved mechanisms for guaranteeing the peaceful use of nuclear energy.;1;GOV
SVN;1994;10;1;89. With regard to the other main functions of the Agency, his country appreciated the Agency's activities in the field of nuclear safety - particularly international review mission programmes such as OSART, ASSET, ASCOT, IPERS and INSARR, which regularly demonstrated the transparency of Slovenia's nuclear activities. With regard to the Nuclear Safety Convention, the Director General and the Group of Experts and its Chairman were to be thanked for their efforts and their professional approach. Slovenia was honoured to be among the first Member States to sign the Convention, and his delegation was pleased to note that a large number of Member States had signed it on the first day, ensuring its entry into force in the very near future.;1;INSTR
NGA;1994;-7;0;120. His delegation had noted the steps taken by the Secretariat to implement General Conference resolution GC(XXXVI)/RES/581, which requested the Director General to ensure harmony and compatibility between the Agency's programme and budget documents and its annual reports and accounts in order to facilitate comparison. He welcomed those efforts and urged that the change from an organization-based to a programme-based appropriation system be carried out as rapidly as possibly, since it would eventually result in improved transparency and better management.;1;ADM
PHL;1994;8;1;"120. That ""political"" decision was inextricably linked with the issue of transparency in the workings of the Board of Governors. Everyone knew that the Agency had always set great store by transparency in its activities, particularly in the field of safeguards. The Board had adopted resolutions calling on Member States to make full disclosures of information on those of their activities about which the Agency was concerned. With regard to designations, however, some members of the Board had consistently refused to be transparent. Although the Board had decided in 1958 that the list of members proposed for designation should be in alphabetical order, at least the criteria applied should be made known to all.";1;GOV
NZL;1994;10;1;183. Also, New Zealand welcomed other initiatives already undertaken by the Agency in order to promote transparency regarding nuclear activities. Since the previous General Conference session, his country had formally become a participant in the voluntary reporting system for nuclear material and specified equipment and non-nuclear material, and it would like all countries to participate in the system.;1;INSTR
PHL;1994;8;1;52. Mr. ARCILLA (Philippines) commended those who had also voted against the motion for their courage and sense of fairness and thanked those who had abstained from voting, thereby indicating that they were in sympathy with the thinking behind the draft resolution submitted by the Philippines. The aim of the draft resolution had been to create greater transparency in the workings of the Board of Governors, something which many of those who had voted for the motion often claimed to favour.;1;GOV
HUN;1990;10;1;65. His delegation welcomed the keen interest which had been shown by all participants at the Fourth NPT Review Conference in the role played by the Agency in promoting the peaceful uses of nuclear energy and preventing the proliferation of nuclear weapons. Despite the failure to reach consensus on a final declaration, due to differences of opinion on a number of questions related to disarmament, a positive evaluation of the Agency's activities had emerged from the general debate and the report of the committees. With regard to the role and future activities of the Agency, a number of proposals, suggestions and expectations had been formulated on issues as important as strengthening of the safeguards system, improvement of the safeguards information policy, international co-operation on nuclear safety, and technical assistance and co-operation. Among the proposals particularly deserving of the open-minded attention of the Agency's Member States were those aimed at evaluating the experience acquired in 20 years of safeguards implementation or at studying the scope and modalities of special inspections in cases where the non-proliferation commitments of any State Party to the Treaty had come into question. His delegation was also in favour of increasing the transparency of the Safeguards Implementation Report, which would help to maintain, or even strengthen, confidence in the safeguards system.;1;SG
USA;1982;10;1;73. Secondly, they must commit themselves to continued improvements and reforms in the safeguards system. The United States supported the Director General's interest in the question of the transparency of the safeguards operation and encouraged increased transparency to the extent that it did not compromise the legitimate right to have commercial information protected.;1;SG
FRA;1982;8;1;98. Agency safeguards had so far fully met their objectives and were proving reliable. There was, however, also room for improvement since safeguards had to be constantly adjusted to advances in technology and applied to a growing number and variety of installations. His delegation therefore welcomed the detailed discussion of safeguards which had been scheduled for the series of Board meetings in February 1983. The time had come to ponder over the very concept of the safeguards strategy which should keep pace with the technical development of the countries concerned and not consist merely in applying mathematical criteria to each installation. Similarly, the scope of safeguards could be usefully enlarged in some cases, technical resources improved, full use made of the inspection procedures provided for in the relevant agreements and a greater degree of transparency introduced into safeguards activities and reports.;1;SG
TUN;1982;-8;0;50. Tunisia noted with satisfaction the growing interest of the Secretariat and Member States in studying the problems of evaluating technical co-operation and making the Agency's technical co-operation policies more transparent. It shared the feeling that it would be wise to strengthen the administrative and technical procedures used in evaluation and to try to make the Agency's basic promotional work altogether more coherent. A point to be stressed, however, was that that exercise must not lead to the application of new conditions to, or additional constraints on, technical assistance.;1;TC
POL;2002;10;1;He commended the Agency for its public information policy and thanked the Secretariat for issuing the Nuclear Technology Review 2002. He also commended the Agency for its promotional activities in Johannesburg during the World Summit on Sustainable Development which had contributed to global awareness of the Agency’s work by highlighting the contribution of nuclear applications to human health, agricultural productivity, water management, environmental protection and energy production. Poland had recently ratified the Kyoto Protocol. In November, a regional public information seminar would be held in the country, organized under the auspices of the Agency, to promote the benefits of nuclear energy.;1;ADM
CAN;1998;10;1;"96. The Agency was continuing its work in the key sectors of non-proliferation, nuclear safety and technical co-operation in order to increase the contribution of nuclear energy to peace, health and prosperity throughout the world. However, 1998 had been marked by several events which ran counter to the efforts that were being made to promote the peaceful use of nuclear energy. It was likely that public opinion, particularly with regard to nuclear non-proliferation, safety and radioactive waste management, would continue to influence the future use of nuclear energy. Since the Agency was the main instrument for the elaboration of international law and the main guide in those key areas, the public should be kept regularly informed about its activities. In that respect, the ongoing review by the Agency of the role and management of public information was particularly useful, as well as the development of its Internet site and the production of the film entitled ""The Nuclear Age"". The Director General's suggestion to set up an expanded programme of public information seminars was also extremely interesting.";1;ADM
CHL;1998;8;1;"125. In conclusion, he stressed the importance which the Chilean Government attached to the measures described by the Director General aimed at strengthening the internal management of the Agency and creating a ""single Agency"" culture. Those measures were aimed at raising the levels of efficiency and effectiveness in all the Agency's activities through the adoption of a medium-term strategy. For that to succeed, it would need to be accompanied by a re-evaluation in Member States themselves of the Agency's role with regard to decision-making, financing and implementation of activities and, in particular, as regarded its perception by the public. In that connection, the measures adopted by the Secretariat to strengthen its public information programmes in order to heighten awareness of the true extent to which nuclear energy could contribute to development were extremely pertinent and would promote interaction among Member States and between them and the Agency. Chile had been working towards that objective for more than 15 years and was putting its experience at the disposal of the Agency and the other Member States. It now appealed to them all to join in that endeavour because only by working together could success be attained.";1;ADM
SVK;1998;9;1;22. A more active public information service would contribute significantly to public understanding of the advantages of nuclear energy and at the same time increase public confidence. The Agency should in particular publicize the improvements achieved in nuclear safety in Member States and use the most modern and effective tools, such as the Internet, and high-quality materials and publications to help promote a positive attitude towards nuclear energy among the public. In that connection, he noted that the international public information seminar hosted by Slovakia earlier in the year had been a great success.;1;ADM
PRT;1998;10;1;66. More than 60% of technical co-operation expenditure related to sectors such as food, agriculture, health, water resources and industrial applications and it seemed unlikely that public opinion was aware of the extent and variety of the non-power applications of nuclear energy. The Agency's public information initiatives were therefore very important, especially the provision of information via the Internet, and via other media in areas where Internet access was not widespread.;1;ADM
BGD;1990;-5;0;79. Public confidence in nuclear power had been shaken by several accidents. The Director General, in his introductory statement, had referred to the present stagnation in the construction of new plants and stated that public confidence could only be restored if the Agency gave urgent attention to three issues, namely the safety of nuclear installations, the safe management and storage of nuclear waste, and non-proliferation, and established an appropriate balance between them. The Agency should renew its efforts to gain public confidence in nuclear power, and in that connection his delegation welcomed the plan of action for public information which the Agency had set up with the help of a special contribution from the Japanese Government.;1;ADM
TZA;1990;-6;0;85. Finally, as scientists and Governments around the world strived to make nuclear reactors safer and more efficient and as the Agency prepared to embark on a public information campaign to make nuclear energy acceptable in industrialized countries, the needs of the developing countries should be given equal attention and nuclear energy should be made available and affordable to them, since the current world energy crisis required a global response and strategy.;1;ADM
GBR;1990;10;1;142. The importance of public information for nuclear power had been underestimated in the past. In his country, the nuclear industry had recently brought together its public information activities in a Nuclear Electricity Information Group, whose task was to explain the facts of nuclear power - for the debate on nuclear power must be based on facts. Given the international dimension of that debate, the Agency also should undoubtedly assign high priority to its own public information work.;1;ADM
IRN;2010;-7;0;94. The issue of confidentiality was one of the issues that had caused Iran deep concern with regard to the Agency’s performance. Member States should not find their national security endangered and under no circumstances should their classified information be disclosed. The matter required close scrutiny, particularly with respect to recent developments at the Agency.;1;ADM
EGY;2010;-3;0;63. The Middle East remained a special case in efforts to rid the world of nuclear weapons, as demonstrated by the consensus achieved at the 2010 NPT Review Conference on the convening of a conference in 2012 on the establishment of a zone free of nuclear weapons and other weapons of mass destruction in that region. The Agency’s credibility depended to a large extent on the seriousness with which its Member States addressed the issue of nuclear disarmament in the Middle East and the application of comprehensive safeguards to all nuclear facilities in the region. Although 18 years had elapsed since the adoption by the General Conference of a resolution calling on all States in the Middle East to apply comprehensive safeguards, Israel had taken no steps to achieve that objective. The Agency should fulfil the mandate assigned to it under the resolutions adopted at the 53rd session of the General Conference and disclose whatever information it possessed concerning Israeli nuclear facilities that should be placed under Agency safeguards.;1;SG
